Date,Close/Last,Volume,Open,High,Low
06/04/2026,85.22,59614610,83.47,86.245,82.475
06/03/2026,86.56,62154480,87.68,88.09,85.41
06/02/2026,87.22,48355010,85.94,87.32,84.83
06/01/2026,86.04,57216020,84.145,87.06,83.75
05/29/2026,84.56,67644080,84.41,85.70,83.53
05/28/2026,83.68,55265900,81.74,84.05,80.655
05/27/2026,81.67,66220970,82.87,82.91,80.33
05/26/2026,81.95,62579630,80.59,82.27,79.98
05/22/2026,77.84,58330530,78.04,79.33,77.332
05/21/2026,76.95,74958080,75.18,77.7895,74.47
05/20/2026,76.51,70647500,74.09,76.53,73.615
05/19/2026,72.93,85973690,72.41,74.50,70.9616
05/18/2026,74.32,87710120,76.13,76.2713,72.10
05/15/2026,75.34,81260610,75.73,77.365,74.228
05/14/2026,78.95,58472780,77.29,79.68,77.155
05/13/2026,77.24,64416390,75.81,77.94,74.19
05/12/2026,74.96,90651650,75.30,75.9292,71.55
05/11/2026,76.96,60475030,76.00,77.36,75.55
05/08/2026,76.28,68713740,72.82,76.31,72.695
05/07/2026,71.34,93509110,71.87,73.295,70.38
05/06/2026,71.57,70169040,69.255,71.6587,68.88
05/05/2026,67.39,54098800,66.37,67.7686,66.25
